기능,상세 기능,설명,우선순위,필수,구현
AUTH-01 회원가입·로그인,계정 생성·인증·진입 분기,"아이디·비밀번호로 계정을 생성하거나 로그인한다. 최초 사용자는 최초 상속 정보 입력으로, 기존 사용자는 메인으로 이동한다.",P0,Yes,No
AUTH-02 인증 상태 관리,세션 유지·로그아웃,"새로고침 후 로그인 상태를 유지하고, 로그아웃 시 세션을 종료한 뒤 로그인 화면으로 이동한다.",P1,Yes,No
COMMON-01 기한·불확실성 계산,규칙 기반 계산,기한은 AI가 아닌 고정 규칙으로 계산한다. 기산일이나 금액이 확정되지 않은 경우 확정값 대신 확인 필요 상태를 표시한다.,P0,Yes,No
COMMON-02 AI 판단 제한,법률·세무 결론 제한,"AI는 문서 정보 추출, 절차 선별, 순서 정리, 위험 신호 표시에만 사용한다. 상속포기·한정승인 등 법률·세무 결론은 확정하지 않는다.",P0,Yes,No
COMMON-03 진행 상태·데이터 관리,저장·일반 갱신·오류 처리,"입력 정보, 문서 분석 결과, 로드맵 상태를 계정에 저장한다. 일반 단계 완료는 상태만 갱신하고, 중요 정보 변경 때만 사용자 확인 후 로드맵을 재분석한다.",P0,Yes,No
DATA-01 상속자료·항목 추가,업로드·직접 입력,"문서 업로드, 재산 직접 추가, 채무 직접 추가 중 하나를 선택해 정보를 등록한다.",P0,Yes,No
DATA-02 AI 분석·반영,분석 상태 및 사용자 확인,"문서를 분석해 기관, 유형, 금액, 기준일을 추출하고 사용자가 수정·확정한 결과만 내 상속 정보에 반영한다. 실패 시 재시도 또는 직접 입력을 제공한다.",P0,Yes,No
DATA-03 로드맵 재분석 확인,중요 변경 사용자 승인,"새 채무, 상속인, 유언 등 로드맵 순서를 바꾸는 정보가 추가된 경우 변경 가능 범위를 알리고 사용자 확인 후 재분석한다.",P0,Yes,No
EDIT-01 상속 정보 통합 수정,기본정보·문서·재산·채무 편집,"기본 상속 정보, 조건부 정보, 등록 문서, AI 추출 결과, 직접 입력한 재산·채무를 한 화면에서 조회·추가·수정·삭제한다.",P0,Yes,No
EDIT-02 변경 저장·영향 검사,로드맵 영향 확인,변경값을 저장하고 로드맵 순서에 영향을 주는 정보인지 검사한다. 영향이 있을 때만 재분석 확인을 요청한다.,P0,Yes,No
INFO-01 상속 사건·기본정보 카드,사건 요약,"피상속인 표시명, 최근 로드맵 반영일, 사망일, 관계, 공동상속인 구성, 재산·채무 파악 상태를 카드로 표시한다.",P0,Yes,No
INFO-02 등록 상속자료 카드,문서 현황,"등록된 문서명, 등록일, 분석 상태를 표시한다. 보기와 추가 동작을 제공한다.",P0,Yes,No
INFO-03 재산·채무 현황 카드,확인·미확인 금액 요약,"확인된 재산, 확인된 채무, 금액 미확인 건수를 유형별로 표시한다. 부동산 등 MVP 상세 처리 범위 밖 항목은 별도로 표시한다.",P0,Yes,No
INFO-04 상세 정보 관리,상세·수정 진입,수정 선택 시 상속 정보 상세·수정 화면으로 이동한다.,P0,Yes,No
MAIN-01 상단 메뉴,상속자료 추가·내 정보,상단에서 상속자료 추가와 내 상속 정보 화면으로 이동한다.,P0,Yes,No
MAIN-02 지금 해야 할 일,최우선 업무 카드,"현재 가장 먼저 처리할 업무 한 건, 짧은 안내, 관련 D-day를 표시한다. 처리 방법 보기 선택 시 단계 상세로 이동한다.",P0,Yes,No
MAIN-03 가로 로드맵,단계 탐색·상태 표시,"현재 위치 주변 4~5개 단계를 가로로 표시하고 좌우로 탐색한다. 각 단계는 완료·현재·예정 상태로 구분하며, 직접 클릭만으로 완료되지는 않는다.",P0,Yes,No
MAIN-04 먼저 확인할 것,선행 정보 목록,"현재 업무 전에 확인해야 할 금액, 채무, 문서 등 미확인 항목을 표시한다. 선택 시 관련 입력 또는 자료 등록으로 이동한다.",P0,Yes,No
MAIN-05 현재 주의사항,현재 단계 경고,현재 단계와 직접 관련된 주의사항 1~3건을 표시한다. 전체 보기 선택 시 전체 주의사항 목록을 연다.,P0,Yes,No
ONB-01 단계형 기본정보 입력,상속 상황 질문,"질문형 화면에서 사망일, 사망자와의 관계, 공동상속인 구성을 입력한다. 상속 인지일·미성년 상속인·유언·완료 절차는 해당 사용자에게만 추가로 묻는다.",P0,Yes,No
ONB-02 재산·채무 파악 상태 입력,조회 상태 및 흐름 분기,"안심상속 조회 전·조회 중·결과 보유 중을 선택한다. 결과가 있으면 자료 업로드로, 없으면 알고 있는 재산·채무 직접 입력으로 이어진다.",P0,Yes,No
